profile_id,profile_name,price_mode,macd_fast,macd_slow,macd_signal,holding_days,vol_ratio_min,amt_ratio_min,price_pos_max,dif_positive,min_signals,raw_signals,selected_all_n,selected_all_win_rate,selected_all_avg_ret,selected_all_median_ret,selected_all_avg_dd,selected_all_calmar,recent_n,recent_win_rate,recent_avg_ret,recent_median_ret,recent_avg_dd,recent_calmar
macd_10_22_8_h15,"基准策略 · EMA(10,22,8)",qfq_next_close,10,22,8,15,1.0,1.42,0.6,False,1,227960,65,0.5076923076923077,0.039296238558098634,0.0028301886792454264,-0.10430358276400989,0.376748693733825,20,0.4,-0.004392177008530068,-0.0389042636963383,-0.11678506124121438,-0.03760906542197397
macd_10_22_8_h15,"基准策略 · EMA(10,22,8)",current_model_vwap,10,22,8,15,1.0,1.42,0.6,False,1,227960,389,0.622107969151671,0.1464931067728175,0.046614698316872,-0.06603886504951247,2.2182862570848947,20,0.5,0.02928276265260914,-0.0005928420109633957,-0.07614469198204804,0.3845673531585482
macd_10_22_8,"参数组 S · EMA(10,22,8)",qfq_next_close,10,22,8,15,1.0,1.42,0.6,False,1,227960,65,0.5076923076923077,0.039296238558098634,0.0028301886792454264,-0.10430358276400989,0.376748693733825,20,0.4,-0.004392177008530068,-0.0389042636963383,-0.11678506124121438,-0.03760906542197397
macd_10_22_8,"参数组 S · EMA(10,22,8)",current_model_vwap,10,22,8,15,1.0,1.42,0.6,False,1,227960,389,0.622107969151671,0.1464931067728175,0.046614698316872,-0.06603886504951247,2.2182862570848947,20,0.5,0.02928276265260914,-0.0005928420109633957,-0.07614469198204804,0.3845673531585482
macd_12_26_9,"参数组 M · EMA(12,26,9)",qfq_next_close,12,26,9,15,1.0,1.42,0.6,False,1,195884,67,0.6119402985074627,0.03371680954384162,0.03240058910161999,-0.095258487196443,0.3539507138540892,20,0.7,0.056880250851064976,0.10311669112226396,-0.10787190725523552,0.5272943836663676
macd_12_26_9,"参数组 M · EMA(12,26,9)",current_model_vwap,12,26,9,15,1.0,1.42,0.6,False,1,195884,340,0.6088235294117647,0.11619189421722968,0.03789438843705735,-0.06785416301518113,1.7123767953814988,20,0.6,0.03997367155346464,0.009546054171109377,-0.06470979507452856,0.6177375698288883
macd_14_30_11,"参数组 L · EMA(14,30,11)",qfq_next_close,14,30,11,15,1.0,1.42,0.6,False,1,165645,75,0.5866666666666667,0.03927451203439241,0.023312883435582812,-0.1041122401206905,0.37723241752232056,20,0.55,0.03544022715964833,0.014643962848297162,-0.12456536218661736,0.2845110915067514
macd_14_30_11,"参数组 L · EMA(14,30,11)",current_model_vwap,14,30,11,15,1.0,1.42,0.6,False,1,165645,282,0.5921985815602837,0.08423624931526859,0.027435867406609617,-0.08044585404705093,1.0471173476012914,20,0.35,-0.019822842083185053,-0.021130568765494455,-0.08472053255428444,-0.2339791958989826
optuna_best,Optuna 最优 · EMA(10/22/8),qfq_next_close,10,22,8,10,0.5231824059330973,1.2696418545772363,0.6068160957414361,False,1,228469,129,0.5581395348837209,0.03634163765482106,0.011649580615097787,-0.08043877759986331,0.451792515241838,20,0.45,0.005618379199449657,-0.0018679090328401688,-0.08641763830996937,0.0650142645567011
optuna_best,Optuna 最优 · EMA(10/22/8),current_model_vwap,10,22,8,10,0.5231824059330973,1.2696418545772363,0.6068160957414361,False,1,228469,615,0.6666666666666666,0.13396982299192753,0.047445745702962505,-0.05414763989008938,2.4741581214594723,20,0.55,0.010797619546164722,0.012375678700760813,-0.0713868283005046,0.15125506768155994
tdx_12_26_9,"通达信参数 · EMA(12,26,9)",qfq_next_close,12,26,9,5,1.0,1.0,0.7,False,1,197330,808,0.5235148514851485,0.011508959381766534,0.004943976182895594,-0.0606749151480184,0.18968233171303264,20,0.7,0.023940044337380378,0.03200369052837884,-0.0458564155822659,0.522065321360153
tdx_12_26_9,"通达信参数 · EMA(12,26,9)",current_model_vwap,12,26,9,5,1.0,1.0,0.7,False,1,197330,2833,0.6254853512177904,0.08700897566645259,0.023720867658314583,-0.042559443553928655,2.04441055617187,20,0.6,0.04458860988245285,0.033371575498757564,-0.04022623333593335,1.1084460608103386
